Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
Y	MOVE	GARRY	DOTTY	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GARRY" role="actor" /><bml><gaze target="DOTTY" /></bml></act>
